Major_code,Major,Major_category,Grad_total,Grad_employed,Grad_unemployed
5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services,9173,7098,681
6004,COMMERCIAL ART AND GRAPHIC DESIGN,Arts,53864,40492,2482
6211,HOSPITALITY MANAGEMENT,Business,24417,18368,1465
2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,5411,3590,316
2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,9109,7512,466
3201,COURT REPORTING,Law & Public Policy,1542,1008,0
6206,MARKETING AND MARKETING RESEARCH,Business,190996,151570,8324
1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources,17488,13104,473
2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,5611,4716,119
1904,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,33928,28517,899
6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts,24525,19059,2035
5701,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services,3187,1984,319
2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,6065,4442,310
1903,MASS MEDIA,Communications & Journalism,42915,35939,1957
5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services,27410,20035,980
2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,11165,9037,803
6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business,22553,17691,865
2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,14816,12433,407
2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,19885,14752,603
6099,MISCELLANEOUS FINE ARTS,Arts,1733,1100,44
5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy,188228,154146,6591
6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business,813399,622357,32089
5503,CRIMINOLOGY,Social Science,18499,14584,692
6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,41970,36227,1459
2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,10290,8554,542
6204,OPERATIONS LOGISTICS AND E-COMMERCE,Business,15056,12659,296
6200,GENERAL BUSINESS,Business,602964,457191,19494
